h_over_J,ground_local_qfi,thermal_beta5_local_qfi,depolarized_P01_local_qfi
1.645762711864406702e+00,3.757434463645117351e-01,4.122928376883421286e-01,3.115594332465592142e-01
1.686440677966101642e+00,3.285976620313169061e-01,3.533513131678153729e-01,2.711838733337080809e-01
1.727118644067796582e+00,2.884281804146113792e-01,3.051512141319043248e-01,2.369018515364754440e-01
1.767796610169491522e+00,2.540987402593325450e-01,2.653738099235756209e-01,2.077071017556646471e-01
1.808474576271186463e+00,2.246650555051140363e-01,2.322545477739265396e-01,1.827652917093030571e-01
1.849152542372881403e+00,1.993436733223377666e-01,2.044454362083252819e-01,1.613858117803132208e-01
1.889830508474576121e+00,1.774848476050810697e-01,1.809104775401789433e-01,1.429972713066089418e-01
1.930508474576271061e+00,1.585494366443773728e-01,1.608474464117482516e-01,1.271266832950370684e-01
1.971186440677966001e+00,1.420895219072325077e-01,1.436298758276989551e-01,1.133820434311787195e-01
2.011864406779660719e+00,1.277323124048742597e-01,1.287641178572398182e-01,1.014378951857460714e-01
2.052542372881355881e+00,1.151668673646005780e-01,1.158576334250897150e-01,9.102344855690981673e-02
2.093220338983050599e+00,1.041331908501582498e-01,1.045954185534163222e-01,8.191284227636666526e-02
2.133898305084745761e+00,9.441329732202359548e-02,9.472247211067084949e-02,7.391718276073763749e-02
2.174576271186440479e+00,8.582390087158195402e-02,8.603062999115458631e-02,6.687804342059265605e-02
2.215254237288135641e+00,7.821043441989242173e-02,7.834862260685562796e-02,6.066215756186388308e-02
2.255932203389830359e+00,7.144215434725806335e-02,7.153450299803761070e-02,5.515708337866680189e-02
2.296610169491525522e+00,6.540812912062064777e-02,6.546982449071939159e-02,5.026765902328930030e-02
2.337288135593220240e+00,6.001394718152928964e-02,6.005516070956134350e-02,4.591309923431137474e-02
2.377966101694914958e+00,5.517901000963121305e-02,5.520653691041207956e-02,4.202461289663911997e-02
2.418644067796610120e+00,5.083430155225555219e-02,5.085268447268808528e-02,3.854344384592175293e-02
2.459322033898304838e+00,4.692054587026621426e-02,4.693281767238906971e-02,3.541925593396016980e-02
2.500000000000000000e+00,4.338668163656502624e-02,4.339487498014333450e-02,3.260879853526361255e-02
